image_id,source_dataset,filepath,original_path,original_class,unified_class,label,group_id,specimen_id,stratum,fold
current_freshwater-7e89509ed725,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_aug_206.jpg,train_split/Bacterial Red disease/Bacterial Red disease_aug_206.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-7e89509ed725,,Bacterial Red Disease|current_freshwater,1
current_freshwater-62cdb36c5616,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_aug_231.jpg,train_split/Bacterial Red disease/Bacterial Red disease_aug_231.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-62cdb36c5616,,Bacterial Red Disease|current_freshwater,1
current_freshwater-f36fb1a9e1f9,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_aug_245.jpg,train_split/Bacterial Red disease/Bacterial Red disease_aug_245.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-f36fb1a9e1f9,,Bacterial Red Disease|current_freshwater,1
current_freshwater-00f1e1382549,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_aug_256.jpg,train_split/Bacterial Red disease/Bacterial Red disease_aug_256.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-00f1e1382549,,Bacterial Red Disease|current_freshwater,1
current_freshwater-d8eadb75d627,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_aug_292.jpg,train_split/Bacterial Red disease/Bacterial Red disease_aug_292.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-d8eadb75d627,,Bacterial Red Disease|current_freshwater,1
current_freshwater-7abdc2193cd5,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_aug_300.jpg,train_split/Bacterial Red disease/Bacterial Red disease_aug_300.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-7abdc2193cd5,,Bacterial Red Disease|current_freshwater,1
current_freshwater-2a9c41517aec,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_aug_302.jpg,train_split/Bacterial Red disease/Bacterial Red disease_aug_302.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-2a9c41517aec,,Bacterial Red Disease|current_freshwater,1
current_freshwater-ca95e9ec2d0f,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_aug_32.jpg,train_split/Bacterial Red disease/Bacterial Red disease_aug_32.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-9d9341ca2544,,Bacterial Red Disease|current_freshwater,1
current_freshwater-098e918912ab,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_aug_33.jpg,train_split/Bacterial Red disease/Bacterial Red disease_aug_33.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-00f1e1382549,,Bacterial Red Disease|current_freshwater,1
current_freshwater-69d54f8abc58,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_aug_342.jpg,train_split/Bacterial Red disease/Bacterial Red disease_aug_342.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-69d54f8abc58,,Bacterial Red Disease|current_freshwater,1
current_freshwater-930692f0cc73,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_aug_5.jpg,train_split/Bacterial Red disease/Bacterial Red disease_aug_5.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-930692f0cc73,,Bacterial Red Disease|current_freshwater,1
current_freshwater-e268b269d307,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_aug_6.jpg,train_split/Bacterial Red disease/Bacterial Red disease_aug_6.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-00f1e1382549,,Bacterial Red Disease|current_freshwater,1
current_freshwater-f3190c1760d0,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_aug_66.jpg,train_split/Bacterial Red disease/Bacterial Red disease_aug_66.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-f3190c1760d0,,Bacterial Red Disease|current_freshwater,1
current_freshwater-65ecbca4f170,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_aug_72.jpg,train_split/Bacterial Red disease/Bacterial Red disease_aug_72.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-65ecbca4f170,,Bacterial Red Disease|current_freshwater,1
current_freshwater-3ac614a297f3,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_aug_75.jpg,train_split/Bacterial Red disease/Bacterial Red disease_aug_75.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-3ac614a297f3,,Bacterial Red Disease|current_freshwater,1
current_freshwater-e46181680a89,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_aug_77.jpg,train_split/Bacterial Red disease/Bacterial Red disease_aug_77.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-e46181680a89,,Bacterial Red Disease|current_freshwater,1
current_freshwater-5610b8a8eb14,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_aug_8.jpg,train_split/Bacterial Red disease/Bacterial Red disease_aug_8.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-3b8d9cbe2212,,Bacterial Red Disease|current_freshwater,1
mendeley-1ce7cde0e137,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_35/IMG20260207073203.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_35/IMG20260207073203.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-163078ae5bd4,Fish_35,Bacterial Red Disease|mendeley,1
mendeley-59061efcb126,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_35/IMG20260207073203_01.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_35/IMG20260207073203_01.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-163078ae5bd4,Fish_35,Bacterial Red Disease|mendeley,1
mendeley-8c8e1ebe8cdc,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_35/IMG20260207073204.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_35/IMG20260207073204.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-163078ae5bd4,Fish_35,Bacterial Red Disease|mendeley,1
mendeley-163078ae5bd4,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_35/IMG20260207073205.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_35/IMG20260207073205.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-163078ae5bd4,Fish_35,Bacterial Red Disease|mendeley,1
mendeley-9fef5176034f,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_35/IMG20260207073206.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_35/IMG20260207073206.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-163078ae5bd4,Fish_35,Bacterial Red Disease|mendeley,1
mendeley-776188a4cd45,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_35/IMG20260207073207.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_35/IMG20260207073207.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-163078ae5bd4,Fish_35,Bacterial Red Disease|mendeley,1
mendeley-e33264955ef9,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_35/IMG20260207073208.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_35/IMG20260207073208.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-163078ae5bd4,Fish_35,Bacterial Red Disease|mendeley,1
mendeley-30b4fed6afae,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_35/IMG20260207073209.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_35/IMG20260207073209.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-163078ae5bd4,Fish_35,Bacterial Red Disease|mendeley,1
mendeley-61a40241fe53,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_35/IMG20260207073210.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_35/IMG20260207073210.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-163078ae5bd4,Fish_35,Bacterial Red Disease|mendeley,1
mendeley-5b0a93d3e63e,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_35/IMG20260207073211.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_35/IMG20260207073211.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-163078ae5bd4,Fish_35,Bacterial Red Disease|mendeley,1
mendeley-6ad2141af5c8,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_35/IMG20260212064613.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_35/IMG20260212064613.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-163078ae5bd4,Fish_35,Bacterial Red Disease|mendeley,1
mendeley-41456b611c4e,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_35/IMG20260212064615.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_35/IMG20260212064615.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-163078ae5bd4,Fish_35,Bacterial Red Disease|mendeley,1
mendeley-ab33212ff481,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_35/IMG20260212064618.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_35/IMG20260212064618.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-163078ae5bd4,Fish_35,Bacterial Red Disease|mendeley,1
mendeley-62bbfaeb1414,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065647.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065647.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-05659807df05,Fish_40,Bacterial Red Disease|mendeley,1
mendeley-5230727e65cc,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065648.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065648.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-05659807df05,Fish_40,Bacterial Red Disease|mendeley,1
mendeley-77f32526ad55,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065650.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065650.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-05659807df05,Fish_40,Bacterial Red Disease|mendeley,1
mendeley-05659807df05,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065714.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065714.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-05659807df05,Fish_40,Bacterial Red Disease|mendeley,1
mendeley-79a17cb6af87,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065729.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065729.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-05659807df05,Fish_40,Bacterial Red Disease|mendeley,1
mendeley-30bff0b939a1,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065730.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065730.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-05659807df05,Fish_40,Bacterial Red Disease|mendeley,1
mendeley-9d9b2fd0d7d8,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065731.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065731.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-05659807df05,Fish_40,Bacterial Red Disease|mendeley,1
mendeley-c318572b3e64,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065732.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065732.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-05659807df05,Fish_40,Bacterial Red Disease|mendeley,1
mendeley-1be2abb4761a,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065733.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065733.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-05659807df05,Fish_40,Bacterial Red Disease|mendeley,1
mendeley-4cf90b9ceef3,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065733_01.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065733_01.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-05659807df05,Fish_40,Bacterial Red Disease|mendeley,1
mendeley-ae295abf9eb8,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065735.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065735.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-05659807df05,Fish_40,Bacterial Red Disease|mendeley,1
mendeley-439e4c111562,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065756.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065756.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-05659807df05,Fish_40,Bacterial Red Disease|mendeley,1
mendeley-18e729da6e30,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065757.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065757.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-05659807df05,Fish_40,Bacterial Red Disease|mendeley,1
mendeley-af7e48caaca4,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065835.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065835.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-05659807df05,Fish_40,Bacterial Red Disease|mendeley,1
mendeley-1c3048589c44,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065836.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065836.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-05659807df05,Fish_40,Bacterial Red Disease|mendeley,1
mendeley-631ecddafa3c,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065837.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065837.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-05659807df05,Fish_40,Bacterial Red Disease|mendeley,1
mendeley-953ef0ac34b2,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065838.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065838.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-05659807df05,Fish_40,Bacterial Red Disease|mendeley,1
mendeley-e5bc9c9b54ec,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065840.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065840.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-05659807df05,Fish_40,Bacterial Red Disease|mendeley,1
mendeley-18d6b359d8c4,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065842.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065842.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-05659807df05,Fish_40,Bacterial Red Disease|mendeley,1
mendeley-f6932843b9d6,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065843.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065843.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-05659807df05,Fish_40,Bacterial Red Disease|mendeley,1
mendeley-6930812f2495,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065844.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065844.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-05659807df05,Fish_40,Bacterial Red Disease|mendeley,1
mendeley-b722ea582e9b,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065851.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065851.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-05659807df05,Fish_40,Bacterial Red Disease|mendeley,1
mendeley-c8eebd556bde,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065852.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065852.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-05659807df05,Fish_40,Bacterial Red Disease|mendeley,1
mendeley-f76d3338ecbf,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065853.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065853.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-05659807df05,Fish_40,Bacterial Red Disease|mendeley,1
mendeley-54a48997dbb4,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065854.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065854.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-05659807df05,Fish_40,Bacterial Red Disease|mendeley,1
mendeley-5eae9a3ce093,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065855.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065855.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-05659807df05,Fish_40,Bacterial Red Disease|mendeley,1
mendeley-a7b76aa55204,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065856.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065856.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-05659807df05,Fish_40,Bacterial Red Disease|mendeley,1
mendeley-ee7b4f325575,mendeley,data/raw/mendeley/Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065857.jpg,Bacterial Red Diseases/Grass_carp_(Ctenopharyngodon idella)/Fish_40/IMG20260212065857.jpg,Bacterial Red Diseases,Bacterial Red Disease,0,mendeley-05659807df05,Fish_40,Bacterial Red Disease|mendeley,1
